node, X_Crd(UTM14), Y_Crd(UTM14), BOTTOM
378,704729.125,3113054.5,0.103
379,704700.125,3129116.75,1.684
380,704766.9375,3114111.75,0.125
381,704766.9375,3128349,0.589
382,704806.25,3128113.25,2.094
383,704818.5625,3114914,0.842
384,704948.0625,3113624.5,-3.934
385,704841.3125,3129596.5,1.439
386,704913.125,3130658.5,1.647
387,705148.1875,3111713.75,-0.953
388,704982.4375,3130076.25,1.529
389,705242.8125,3112577,-0.297
390,705042.25,3114062.5,1.397
391,705160.25,3115390,0.983
392,705180.1875,3109779.75,0.036
393,705262.125,3113203.25,1.328
394,705199.5625,3114544.25,1.23
395,704966.3125,3110663.75,-0.822
396,705510.8125,3113735.5,1.423
397,705445.375,3114347.75,-3.644
398,705563.375,3115704.5,1.381
399,705937.875,3112110.75,-0.771
400,705642,3115183.5,1.394
401,705879.875,3113025.25,-0.61
402,705723.875,3114763,-0.048
403,705889.5625,3110128.75,0.731
404,706070.25,3113667.25,-0.722
405,705927.625,3114218.5,1.117
406,706002.3125,3115178.25,0.115
407,706054.3125,3111089.5,-1.015
408,706238.4375,3114764.75,-0.337
409,706310.9375,3115579.5,-1.209
410,706456.125,3113323.5,-1
411,706622.5625,3111700.5,-0.38
412,706576.875,3114033.5,-1
413,706698.0625,3110377,-0.806
414,706679.3125,3112559,-1
415,706888.3125,3116293.5,1.165
416,706889,3114815.5,-0.999
417,707074.125,3113332.5,-1
418,707181.75,3115521.25,1.394
419,707117.8125,3110931.75,-0.852
420,707323.4375,3111811.5,0.463
421,707382.5625,3114111.75,-1
422,707402.0625,3116628.75,0.364
423,707441.375,3116943.5,0.243
424,707556.375,3116058,-0.469
425,707461.3125,3112609.25,-0.797
426,707643.3125,3114882,-0.981
427,707888.6875,3113357.75,-0.628
428,707802.6875,3115499.5,0.941
429,707756.75,3112061,1.375
430,707838.1875,3117420.75,-0.079
431,707811.75,3116462.75,-0.202
432,708045.4375,3112533.5,1.385
433,708251.5625,3115942.5,-0.525
434,708223.375,3114249.75,-1
435,708380.5,3115093.75,-0.966
436,708286.9375,3117985.75,0.605
437,708309,3113019,1.325
438,708407.375,3116741,-0.444
439,708564.5625,3117456,-3.09
440,708654,3118325.25,1.012
441,708725.125,3113648.5,1.225
442,708785.125,3150650.5,1.325
443,708760.4375,3116156.75,-0.495
444,709085.5,3150729.25,1.259
445,709087.75,3118639.25,0.573
446,709041.875,3115584.5,-0.891
447,709040.375,3117945.25,-1.561
448,709320.1875,3114404.5,-1.096
449,709234.6875,3148816,1.212
450,709320.75,3150111.75,1.334
451,709249.9375,3117187.25,-0.864
452,709359.5625,3113237.5,-0.748
453,709459.5625,3149335.25,1.372
454,709341.0625,3116359.5,-1
455,709525.875,3118949.25,0.87
456,709585.25,3148280.25,1.254
457,709682.3125,3118337,-0.801
458,709700.6875,3150121.25,1.308
459,709720.8125,3145287.5,0.17
460,709773.75,3147787.5,1.234
461,709805.1875,3144762.25,0.011
462,709823.3125,3146271.25,1.171
463,709831.4375,3147159.75,1.252
464,709756.9375,3117685.75,-0.768
465,710197.4375,3115550.75,-1.028
466,709952.4375,3148847.75,1.075
467,710108.9375,3119384.5,1.396
468,710118.25,3112724.5,-0.953
469,710171.0625,3144005.5,1.766
470,710032.625,3113580,-1.069
471,710389.3125,3116936,-1
472,710496.4375,3147513.75,1.018
473,710371.625,3149408.5,1.112
474,710413.9375,3145239.75,0.028
475,710645.1875,3146764,1.597
476,710260.1875,3118780.25,-0.796
477,710495.4375,3119701.75,1.061
478,710404.5,3148255.75,1.002
479,710566.25,3143699.25,1.175
480,710601.125,3112421.5,-0.259
481,710659.125,3148991,1.002
482,710602.625,3144415,-0.013
483,710422.8125,3118023,-0.576
484,710600.875,3114291.75,-1.11
485,710764.1875,3113241.75,-1.1
486,710881.875,3120019,0.986
487,710952.0625,3145894.75,-0.004
488,710735.4375,3119336.25,-1.558
489,711138.625,3116109.5,-1.168
490,711007.625,3143336.5,0.034
491,711059.875,3147868,1.053
492,711263.9375,3147248,1.002
493,711079.875,3143977,-0.104
494,711128,3111771.25,0.126
495,711085.875,3118651.5,0.892
496,711228.9375,3149135.5,1.016
497,711491.5,3112627.5,-0.971
498,711579.5625,3144807.25,-0.293
499,711403.875,3120266.75,0.449
500,711423.1875,3111333.5,-1.5
501,711362.1875,3117747.75,-1
502,711482.5,3142714.25,0.108
503,711503.9375,3146496,0.046
504,711580.3125,3119481.25,1.396
505,711304.625,3148501.75,1.074
506,711740.75,3113805,-1.125
507,711643.25,3143626.5,-0.262
508,711807,3142389.75,0.673
509,711746.25,3145790.25,-0.132
510,711816.3125,3148893.5,0.831
511,711829.8125,3147820.75,1.038
512,711855.25,3111839.75,-0.553
513,711645.3125,3116823.75,-1
514,711550.125,3115168.75,-1.169
515,711894.6875,3111146.25,-0.621
516,711911,3116069,-1
517,712154.375,3118539.5,-0.62
518,712019,3120750,1.16
519,712052.875,3112390,-0.9
520,712324.9375,3120182.75,1.396
521,712193,3143014,-0.36
522,712133.8125,3148548.25,0.78
523,712239.625,3141790,0.714
524,712048.3125,3147025.25,0.465
525,712327.9375,3145500.5,-0.269
526,712298.25,3112923.75,-1.025
527,712475.875,3119373.5,-0.714
528,712396.5,3121587,1.372
529,712429.6875,3111440.25,-0.283
530,712455.3125,3148087.75,0.687
531,712528.1875,3142420,-0.35
532,712367.875,3146253.5,-0.027
533,712524.75,3120945.25,1.084
534,712516.8125,3143910.75,-0.5
535,712542.6875,3147466.25,0.501
536,712566.625,3112168.75,-0.672
537,712688,3150792.75,0.612
538,712707.8125,3150551.5,0.396
539,712475.4375,3117512.75,-0.387
540,712738.4375,3150321.5,0.644
541,712742.5,3121948,1.243
542,712760.75,3141229.75,0.375
543,712625.375,3115674.5,-1
544,712595.375,3116568,-1
545,712788.3125,3150179.75,0.005
546,712933.5,3144909.75,-0.493
547,712865,3150064.5,-0.062
548,712781.75,3146867,0.612
549,712934.6875,3118149,-0.695
550,712927.4375,3150217,-0.2
